Text,Text1,Text2,Text3,Text4
달팡,달팡 카모마일 아로마틱 케어 15ml,민감성 피부 진정 기능의 아로마 에센스,"해바라기씨오일, 호호바씨오일, 참깨오일, 스위트아몬드오일, 라벤더오일, 베르가모트열매오일, 세이지오일, 캐모마일꽃오일, 백단향오일, 비사볼올, 토코페롤, 리날룰, 리모넨, 제라니올, 쿠마린 (ILN36646)
",페이스오일
닥터자르트,닥터자르트 시카페어 페이셜 카밍 미스트 150ml (안개분사 미스트),모든피부용,"정제수, 프로판디올, 카라기난추출물, 사탕수수추출물, 라벤더오일, 로즈마리잎오일, 왕귤껍질오일, 캐모마일꽃오일, 해수, 초피나무열매추출물, 서양톱풀추출물, 성모초추출물, 트루로즈오브예리코추출물, 말로우추출물, 레몬밤잎추출물, 페퍼민트잎추출물, 카우슬립추출물, 꼬리풀추출물, 어성초추출물, 병풀추출물, 락토바실러스발효물, 제충국꽃추출물, 레몬유칼립투스오일, 마데카소사이드, 글리세린, 부틸렌글라이콜, 폴리글리세릴-2올리에이트, 피이지-60하이드로제네이티드캐스터오일, 디프로필렌글라이콜, 옥틸도데세스-16, 디포타슘글리시리제이트, 에칠헥실글리세린, 소듐시트레이트, 시트릭애씨드, 판테놀, 아시아티코사이드, 소듐피씨에이, 아시아틱애씨드, 하이드로제네이티드레시틴, 마데카식애씨드, 마그네슘피씨에이, 1,2-헥산디올, 징크피씨에이, 피이지-40하이드로제네이티드캐스터오일, 망가니즈피씨에이, 소듐하이알루로네이트, 디소듐이디티에이, 페녹시에탄올, 포타슘소르베이트, 리모넨, 리날룰

* 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 닥터자르트 고객만족센터(1544-5453)으로 연락 부탁 드립니다.",미스트/픽서
케어존,케어존 닥터솔루션 아큐어 트러블 진정 미스트 170ml,모든피부타입,"정제수, 메칠프로판디올, 변성알코올, 1,2-헥산디올, 사이클로메치콘, 글리세린, 피이지-150, 연꽃추출물, 연꽃뿌리추출물, 판테놀, 피이지-40하이드로제네이티드캐스터오일, 하이드로제네이티드레시틴, 트리소듐이디티에이, 디메치콘/비닐디메치콘크로스폴리머, 에탄올, 비스-에칠헥실옥시페놀에톡시페닐트리아진, 폴리메칠메타크릴레이트, 시트릭애씨드, 소듐시트레이트, 아미노메칠프로판올, 라임오일, 로즈마리잎오일, 레몬껍질오일, 베르가모트열매오일, 오렌지껍질오일, 멕시칸주니퍼오일, 센티드제라늄꽃오일, 시트랄, 시트로넬올, 제라니올, 리모넨, 리날룰",미스트/픽서
크리니크,크리니크 모이스춰 써지 페이스 스프레이 125ml,모든 피부 타입,"정제수, 디프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 알로에베라잎수, 병풀추출물, 효모용해추출물, 효모추출물, 카페인, 캐모마일, 트레할로스, 토코페릴아세테이트, 슈크로오스, 소르비톨, 디소듐이디티에이, 포타슘소르베이트, 클로페네신, 페녹시에탄올 [ILN28954]

*제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",미스트/픽서
쌍빠,쌍빠 어딕트 포어리스 매직 에센스 100ml,모든 피부 타입,"다마스크장미꽃추출물, 디프로필렌글라이콜, 카프릴릭/카프릭트리글리세라이드, 이소헥사데칸, 메칠프로판디올, 사이클로펜타실록산, 느릅나무뿌리추출물, 줄맨드라미씨추출물, 병풀추출물, 무화과추출물, 라벤더꽃추출물, 라벤더꽃/잎/줄기추출물, 로즈마리추출물, 한련초추출물, 카렌둘라꽃추출물, 명일엽잎/줄기추출물, 들깨잎추출물, 서양민들레뿌리줄기/뿌리추출물, 선백리향잎추출물, 어성초추출물, 꽃박하잎추출물, 레몬밤잎추출물, 레몬버베나잎추출물, 로즈마리잎추출물, 마시멜로잎추출물, 말로우잎추출물, 바오밥나무씨추출물, 박하잎추출물, 보리지추출물, 세이지잎추출물, 센티드제라늄추출물, 시계꽃추출물, 오레가노잎추출물, 월계수잎추출물, 유칼립투스잎추출물, 자주천인국추출물, 캐모마일꽃추출물, 회향잎추출물, 인도멀구슬나무잎추출물, 페퍼민트오일, 하이드로제네이티드레시틴, 소듐클로라이드, 부틸렌글라이콜, 글리세린, 카프릴릴/카프릴글루코사이드, 멘틸피씨에이, 에칠멘탄카복사마이드, 디소듐이디티에이, 드럼스틱씨오일, 세라마이드엔피, 향료, 페녹시에탄올, 1,2-헥산디올, 에칠헥실글리세린,시트로넬올, 제라니올",미스트/픽서
아벤느,아벤느 오떼르말 300ml,모든 피부 타입,아벤느 온천수(아쿠아),미스트/픽서
아벤느,아벤느 오 떼르말 150ml,모든 피부 타입,아벤느 온천수(아쿠아),미스트/픽서
아벤느,아벤느 오 떼르말 50ml,온천수 스프레이,아벤느 온천수(아쿠아),미스트/픽서
라로슈포제,라로슈포제 세로징크 세범 컨트롤 토닝 미스트 150ml,민감성 및 지성 피부에 사용 적합,"정제수, 소듐클로라이드, 징크설페이트
",미스트/픽서
유리아쥬,유리아쥬 오떼르말 더블 기획 (150ml+150ml),모든 피부 타입,온천수,미스트/픽서
